url;id;name;year;duration;imdb-popularity;budget;box-office
https://www.imdb.com/title/tt0121766/;0121766;Звёздные войны. Эпизод 3: Месть Ситхов;2005;140;618;113.0;868.4
https://www.imdb.com/title/tt0470752/;0470752;Из машины;2014;108;538;15.0;36.9
https://www.imdb.com/title/tt2194499/;2194499;Бойфренд из будущего;2013;123;585;12.0;87.1
https://www.imdb.com/title/tt0086190/;0086190;Звёздные войны. Эпизод 6: Возвращение джедая;1983;131;666;32.5;475.1
https://www.imdb.com/title/tt0108399/;0108399;Настоящая любовь;1993;119;586;13.0;13.1
https://www.imdb.com/title/tt0379786/;0379786;Миссия «Серенити»;2005;119;369;39.0;40.4
https://www.imdb.com/title/tt0878804/;0878804;Невидимая сторона;2009;129;715;29.0;309.2
https://www.imdb.com/title/tt0253474/;0253474;Пианист;2002;150;486;35.0;120.1
https://www.imdb.com/title/tt0758758/;0758758;В диких условиях;2007;148;520;15.0;56.7
https://www.imdb.com/title/tt0449059/;0449059;Маленькая Мисс Счастье;2006;101;306;8.0;101.1
https://www.imdb.com/title/tt0093773/;0093773;Хищник;1987;107;593;15.0;98.3
https://www.imdb.com/title/tt2948372/;2948372;Душа;2020;100;696;39.0;121.0
https://www.imdb.com/title/tt4912910/;4912910;Миссия невыполнима: Последствия;2018;147;680;178.0;791.7
https://www.imdb.com/title/tt1398426/;1398426;Голос улиц;2015;147;791;28.0;201.6
https://www.imdb.com/title/tt0060196/;0060196;Хороший, плохой, злой;1966;161;516;1.2;25.3
https://www.imdb.com/title/tt10288566/;0;Еще по одной;2020;117;546;0.0;12.7
https://www.imdb.com/title/tt0314331/;0314331;Реальная любовь;2003;135;642;40.0;245.2
https://www.imdb.com/title/tt0116282/;0116282;Фарго;1996;98;207;7.0;60.6
https://www.imdb.com/title/tt0120382/;0120382;Шоу Трумана;1998;103;557;60.0;264.1
https://www.imdb.com/title/tt2024544/;2024544;12 лет рабства;2013;134;456;20.0;187.7
https://www.imdb.com/title/tt2278871/;2278871;Жизнь Адель;2013;180;493;4.0;19.5
https://www.imdb.com/title/tt0088847/;0088847;Клуб «Завтрак»;1985;97;631;1.0;51.5
https://www.imdb.com/title/tt0080684/;0080684;Звёздные войны. Эпизод 5: Империя наносит ответный удар;1980;124;651;18.0;538.4
