X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;D1
45;97;0;0;0;3;0;7;1;0;0;1;100
40;93;0;3;0;1;0;7;1;1;1;14;380
270;110;0;4;0;0;0;7;1;1;0;2;560
20;154;0;4;0;3;0;7;1;1;1;4;200
120;172;0;0;0;1;0;7;1;1;1;9;610
90;116;0;4;0;4;0;7;1;1;1;16;61
50;129;0;5;0;3;0;7;1;1;1;6;170
120;123;0;0;0;3;1;7;1;0;1;4;370
45;150;0;5;0;1;0;7;1;0;1;0;65
62;103;0;3;0;4;0;8;1;1;1;2;100
18;81;0;0;0;3;0;7;1;1;1;0;72
120;140;0;4;1;3;1;6;1;1;1;0;400
8;102;0;0;0;3;0;7;1;1;1;0;750
90;181;0;0;0;4;1;7;1;0;0;1;100
120;95;0;4;0;3;0;7;1;0;0;0;220
180;242;0;0;0;1;0;7;1;1;1;4;47
200;109;0;0;0;4;0;7;1;1;0;3;25
6;165;0;1;0;4;1;7;1;1;1;0;210
250;127;0;3;0;1;0;7;1;1;1;3;180
15;111;0;0;0;3;0;7;0;1;0;1;2
23;90;0;4;0;2;0;8;1;0;1;0;9
33;125;0;3;0;1;0;8;1;0;1;2;61
60;123;0;4;0;4;0;7;1;1;0;2;480
210;81;0;5;0;2;1;8;1;0;0;0;830
190;141;0;0;0;1;0;7;1;0;1;6;680
150;111;0;4;0;3;1;7;1;1;1;0;760
1;86;0;4;0;1;0;7;1;1;1;2;200
50;135;0;4;0;1;0;6;1;1;1;3;230
8;95;0;0;1;4;0;7;1;1;0;4;22
90;169;0;0;0;3;0;7;1;1;1;0;210
100;112;0;1;0;4;0;6;1;1;0;2;64
20;125;0;1;0;3;0;6;1;0;1;3;9
7;103;0;0;0;1;0;7;1;1;1;6;140
120;103;0;2;0;4;0;7;1;1;1;2;12
75;131;0;0;0;3;0;7;1;1;1;5;280
40;108;0;0;0;1;0;6;1;1;1;9;560
22;125;0;1;0;2;1;7;0;0;0;0;760
180;159;0;0;0;2;1;8;1;1;1;0;240
77;158;0;0;0;1;0;6;0;0;0;5;71
89;127;0;4;0;1;0;7;1;1;1;0;290
45;136;0;4;0;3;0;7;1;1;1;2;130
9;112;0;0;0;4;0;7;1;1;1;9;4
15;87;0;1;0;4;0;6;1;1;1;3;4
21;170;0;0;0;3;0;7;1;1;0;6;230
90;96;0;5;0;3;0;7;1;1;1;14;400
26;125;0;5;0;3;0;7;1;1;1;0;360
22;160;0;0;0;4;0;7;1;0;0;2;99
42;96;0;0;0;3;0;6;1;1;1;0;7
53;107;0;0;0;3;0;6;1;1;0;0;320
85;100;0;3;0;4;0;7;0;0;0;0;1100
64;101;0;3;0;3;0;6;1;1;1;0;88
45;139;0;0;0;3;0;7;1;1;1;0;620
45;132;0;0;0;1;0;7;0;1;0;0;170
51;121;0;3;0;3;0;7;1;1;1;0;790
1;89;0;0;0;0;0;7;1;0;1;1;4
48;122;0;4;0;3;0;8;1;1;1;0;81
60;95;0;4;0;3;0;7;1;1;1;0;36
22;126;0;0;0;1;0;7;1;1;1;1;27
35;129;0;4;0;1;0;7;1;1;1;0;21
40;115;0;5;0;2;1;7;1;1;1;0;140
60;76;0;0;0;2;1;7;0;1;0;0;56
8;121;0;0;0;3;0;6;1;0;1;0;9
180;144;0;0;0;3;0;7;1;1;1;0;190
140;170;0;4;0;4;1;7;1;1;1;0;1
10;88;0;5;0;3;0;6;1;0;1;0;34
5;89;0;0;0;0;0;7;1;1;1;2;87
55;126;0;0;0;3;0;7;1;1;1;0;570
73;96;0;0;0;3;0;7;1;1;1;0;220
130;155;0;5;1;1;0;7;1;1;1;0;170
250;122;0;0;0;4;0;6;1;1;1;2;270
10;104;0;0;0;1;0;7;1;1;1;0;110
40;171;0;0;0;3;0;6;1;1;1;0;61
55;105;0;0;0;0;0;6;1;1;1;1;350
7;113;0;5;0;0;0;7;1;1;1;4;4
120;165;0;0;0;4;0;6;1;0;1;0;420
12;105;0;0;0;2;1;7;0;1;1;4;440
60;180;0;0;0;3;0;7;1;1;1;0;40
150;82;0;0;0;3;0;7;1;1;1;8;100
19;147;0;0;0;2;1;7;1;0;1;0;5
120;119;0;0;0;0;0;7;1;1;1;0;29
58;97;0;3;0;1;0;7;1;0;0;0;880
15;114;0;4;0;2;1;7;1;0;1;0;120
190;104;0;0;0;3;0;7;1;1;1;13;180
110;125;0;5;0;4;0;7;1;0;1;3;130
50;127;0;0;0;3;0;7;1;1;1;0;200
30;108;0;0;0;4;0;7;1;1;1;1;210
110;130;0;0;0;1;0;8;1;1;1;0;120
39;151;0;0;0;3;0;7;1;1;0;0;44
140;104;0;0;0;0;0;7;1;0;1;2;45
22;138;0;0;0;3;0;7;1;0;1;0;100
18;111;0;0;0;2;0;7;1;1;0;14;23
95;80;0;3;0;3;1;7;1;0;1;2;140
37;113;0;0;0;3;0;6;1;1;1;0;190
18;183;0;1;0;2;1;7;1;1;1;0;3
58;138;0;0;0;4;1;8;1;1;1;0;390
30;85;0;0;0;3;1;7;1;1;1;13;200
58;110;0;0;0;3;1;7;1;0;1;0;2
59;148;0;0;0;2;1;7;1;1;1;0;3
48;160;0;0;0;3;0;7;1;1;1;0;14
6;87;0;0;0;3;0;7;1;0;1;0;10
29;110;0;0;0;0;0;7;1;1;1;0;59
120;140;0;4;0;3;0;7;1;1;0;0;760
4;160;0;0;0;4;1;7;1;1;1;0;130
78;141;0;0;0;3;0;8;1;1;1;0;3
70;192;0;0;0;3;0;7;1;1;1;0;68
44;130;0;0;0;4;0;6;0;0;1;0;93
53;186;0;0;0;2;1;6;1;1;1;0;170
20;128;0;0;0;3;0;6;1;0;1;0;150
7;144;0;0;0;3;0;7;1;1;1;0;40
30;102;0;5;0;3;0;7;1;1;1;0;18
430;104;0;4;0;1;0;6;0;0;0;0;150
400;107;0;5;0;4;0;5;0;0;0;0;380
140;105;0;4;1;1;0;5;0;0;0;0;690
200;86;0;4;0;1;0;3;0;1;0;0;870
180;103;0;5;1;2;1;7;1;1;0;0;760
380;112;0;4;0;4;1;6;0;0;0;1;1000
240;88;0;3;0;3;1;6;1;1;1;1;830
25;99;0;5;0;2;1;6;1;1;1;0;55
